,id,ori_path,adv_path,audibility2
0,8230-279154-0037-i122_clean,/home/vmoat/LibriSpeech/test-clean/8230/279154/8230-279154-0037.flac,/home/vmoat/LibriSpeech/test-clean/8230/279154/8230-279154-0037.flac,0.0
1,6930-76324-0021-i490_clean,/home/vmoat/LibriSpeech/test-clean/6930/76324/6930-76324-0021.flac,/home/vmoat/LibriSpeech/test-clean/6930/76324/6930-76324-0021.flac,0.0
2,5105-28240-0024-i82_clean,/home/vmoat/LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,/home/vmoat/LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,0.0
3,237-134493-0011-i442_clean,/home/vmoat/LibriSpeech/test-clean/237/134493/237-134493-0011.flac,/home/vmoat/LibriSpeech/test-clean/237/134493/237-134493-0011.flac,0.0
4,4077-13754-0015-i160_clean,/home/vmoat/LibriSpeech/test-clean/4077/13754/4077-13754-0015.flac,/home/vmoat/LibriSpeech/test-clean/4077/13754/4077-13754-0015.flac,0.0
5,2300-131720-0032-i63_clean,/home/vmoat/LibriSpeech/test-clean/2300/131720/2300-131720-0032.flac,/home/vmoat/LibriSpeech/test-clean/2300/131720/2300-131720-0032.flac,0.0
6,8455-210777-0010-i161_clean,/home/vmoat/LibriSpeech/test-clean/8455/210777/8455-210777-0010.flac,/home/vmoat/LibriSpeech/test-clean/8455/210777/8455-210777-0010.flac,0.0
7,4446-2273-0008-i211_clean,/home/vmoat/LibriSpeech/test-clean/4446/2273/4446-2273-0008.flac,/home/vmoat/LibriSpeech/test-clean/4446/2273/4446-2273-0008.flac,0.0
8,121-121726-0009-i227_clean,/home/vmoat/LibriSpeech/test-clean/121/121726/121-121726-0009.flac,/home/vmoat/LibriSpeech/test-clean/121/121726/121-121726-0009.flac,0.0
9,1995-1836-0006-i140_clean,/home/vmoat/LibriSpeech/test-clean/1995/1836/1995-1836-0006.flac,/home/vmoat/LibriSpeech/test-clean/1995/1836/1995-1836-0006.flac,0.0
10,7729-102255-0017-i375_clean,/home/vmoat/LibriSpeech/test-clean/7729/102255/7729-102255-0017.flac,/home/vmoat/LibriSpeech/test-clean/7729/102255/7729-102255-0017.flac,0.0
11,6829-68769-0021-i48_clean,/home/vmoat/LibriSpeech/test-clean/6829/68769/6829-68769-0021.flac,/home/vmoat/LibriSpeech/test-clean/6829/68769/6829-68769-0021.flac,0.0
12,672-122797-0047-i383_clean,/home/vmoat/LibriSpeech/test-clean/672/122797/672-122797-0047.flac,/home/vmoat/LibriSpeech/test-clean/672/122797/672-122797-0047.flac,0.0
13,4507-16021-0030-i298_clean,/home/vmoat/LibriSpeech/test-clean/4507/16021/4507-16021-0030.flac,/home/vmoat/LibriSpeech/test-clean/4507/16021/4507-16021-0030.flac,0.0
14,260-123440-0020-i386_clean,/home/vmoat/LibriSpeech/test-clean/260/123440/260-123440-0020.flac,/home/vmoat/LibriSpeech/test-clean/260/123440/260-123440-0020.flac,0.0
